Method,BS64 S1024,BS64 S2048,BS64 S4096
MetaAttention,1.789456844329834,3.490217447280884,6.916810035705566
FlashLinearAttention,2.2931113243103027,4.465310573577881,8.876832008361816
Torch Inductor,3.479811429977417,12.073509216308594,34.31595230102539
