Method,BS1 S2048,BS1 S4096,BS8 S2048,BS8 S4096
MetaAttention,1.8169370889663696,3.6208608150482178,13.919859886169434,27.94161033630371
FlashLinearAttention,3.7606964111328125,7.707878589630127,26.86556053161621,66.13241577148438
