Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192,BS1S1 KV2048,BS1S1 KV4096,BS1S1 KV8192,BS8S1 KV2048,BS8S1 KV4096,BS8S1 KV8192
MetaAttention,1.1696592569351196,1.47878098487854,4.661729335784912,2.894106149673462,9.777024269104004,36.882286071777344,,,,,,
FlashAttention-2,1.8184993267059326,1.9075597524642944,4.630387306213379,3.242999792098999,10.013446807861328,36.04589080810547,,,,,,
FlashAttention-3,1.2133550643920898,1.3152997493743896,2.2656209468841553,1.5772655010223389,5.281951904296875,17.303123474121094,,,,,,
