Method,BS1 S2048,BS1 S4096,BS8 S2048,BS8 S4096
MetaAttention,2.348313808441162,2.156973361968994,6.5739617347717285,12.708749771118164
FlashLinearAttention,2.2986557483673096,3.5212972164154053,13.549429893493652,27.065332412719727
