Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192,BS1S1 KV2048,BS1S1 KV4096,BS1S1 KV8192,BS8S1 KV2048,BS8S1 KV4096,BS8S1 KV8192
MetaAttention,0.3874252140522003,1.0904453992843628,2.2434868812561035,1.5770721435546875,4.933974742889404,17.096670150756836,,,,,,
FlashAttention-2,0.9152928590774536,2.0184922218322754,4.523996829986572,3.22548246383667,10.001749992370605,37.83622360229492,,,,,,
FlashAttention-3,0.4054979979991913,1.292813777923584,2.2601771354675293,1.571588397026062,4.947172164916992,17.09722328186035,,,,,,
