Method,BS1 S2048,BS1 S4096,BS8 S2048,BS8 S4096
MetaAttention,437.9995422363281,437.9995422363281,437.9995422363281,437.9995422363281
FlashAttention-2,443.9288635253906,443.9288635253906,443.9288635253906,443.9288635253906
