Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192,BS1S1 KV2048,BS1S1 KV4096,BS1S1 KV8192,BS8S1 KV2048,BS8S1 KV4096,BS8S1 KV8192
MetaAttention,1.1899174451828003,1.1618846654891968,2.262720823287964,1.5746010541915894,4.790752410888672,17.11643409729004,,,,,,
FlashAttention-2,1.867865800857544,1.6878334283828735,4.591056823730469,3.2296178340911865,10.013091087341309,35.67420959472656,,,,,,
FlashAttention-3,1.1802525520324707,1.2147411108016968,2.2482473850250244,1.5813956260681152,4.979167938232422,16.983762741088867,,,,,,
