Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192,BS1S1 KV2048,BS1S1 KV4096,BS1S1 KV8192,BS8S1 KV2048,BS8S1 KV4096,BS8S1 KV8192
MetaAttention,0.06709690392017365,0.14871375262737274,0.5053739547729492,0.3173721432685852,1.1162739992141724,4.022339820861816,0.03592681512236595,0.060483235865831375,0.10852907598018646,0.07407790422439575,0.1261049509048462,0.23171010613441467
FlashAttention-2,0.1711980402469635,0.47371843457221985,1.5350091457366943,0.8786119222640991,2.866891384124756,10.405205726623535,0.04269849881529808,0.08158326148986816,0.11664767563343048,0.20520995557308197,0.3806033432483673,0.7307944297790527
FlashAttention-3,0.060714296996593475,0.14872398972511292,0.5278523564338684,0.31372934579849243,1.1342692375183105,5.2301859855651855,0.03582568094134331,0.06059150770306587,0.10768857598304749,0.0738956481218338,0.12626567482948303,0.23165833950042725
