Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192,BS1S1 KV2048,BS1S1 KV4096,BS1S1 KV8192,BS8S1 KV2048,BS8S1 KV4096,BS8S1 KV8192
MetaAttention,0.7825427651405334,1.071226954460144,2.2193145751953125,1.5771604776382446,4.687607765197754,17.115619659423828,,,,,,
FlashAttention-2,1.982348084449768,1.9931285381317139,4.6552324295043945,3.2290241718292236,10.006186485290527,37.758880615234375,,,,,,
FlashAttention-3,1.286479115486145,1.324363350868225,2.253067970275879,1.585477352142334,4.991439342498779,16.936620712280273,,,,,,
