Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192,BS1S1 KV2048,BS1S1 KV4096,BS1S1 KV8192,BS8S1 KV2048,BS8S1 KV4096,BS8S1 KV8192
MetaAttention,0.06363621354103088,0.14868208765983582,0.5204684138298035,0.31353721022605896,1.1323846578598022,4.034876346588135,0.03664220869541168,0.06065621227025986,0.1092342734336853,0.07435477524995804,0.12673766911029816,0.23204682767391205
FlashAttention-2,0.17082449793815613,0.4753130376338959,1.5002182722091675,0.876796305179596,2.876896858215332,10.376959800720215,0.09119779616594315,0.09196759015321732,0.11657553911209106,0.20429661870002747,0.380913645029068,0.7310706377029419
FlashAttention-3,0.06010911241173744,0.1485179364681244,0.5216105580329895,0.31375473737716675,1.1220614910125732,4.388730525970459,0.03639162704348564,0.060465071350336075,0.10767146944999695,0.07428677380084991,0.12647677958011627,0.2323044240474701
