Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192
MetaAttention,0.26752033829689026,0.973869800567627,2.3928942680358887,1.6404070854187012,5.153865814208984,17.929197311401367
FlashAttention-2,1.0021517276763916,1.4603861570358276,4.138185024261475,2.7082200050354004,8.771795272827148,33.01601028442383
FlashAttention-3,1.188791036605835,1.2819523811340332,2.4076058864593506,1.7853282690048218,5.463253974914551,18.408802032470703
FlexAttention,1.3211275339126587,3.571444511413574,12.698226928710938,7.736154556274414,26.40775489807129,98.54287719726562
Torch Inductor,1.8085663318634033,2.741474151611328,10.388294219970703,5.7523956298828125,21.574567794799805,
