Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192
MetaAttention,1.219192624092102,1.0705137252807617,2.62850022315979,1.9993860721588135,6.022000789642334,20.87976837158203
FlashAttention-2,1.4638936519622803,1.4412678480148315,4.803692817687988,3.101137161254883,10.011247634887695,40.54528045654297
FlashAttention-3,1.0051509141921997,1.3443421125411987,2.7167890071868896,2.015019416809082,6.644923686981201,20.412822723388672
FlexAttention,1.440664529800415,1.5296412706375122,5.128632545471191,3.5643460750579834,11.355036735534668,41.229248046875
Torch Inductor,1.7420674562454224,6.96842098236084,27.02581214904785,14.539493560791016,55.65584182739258,
