Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192
MetaAttention,0.07793375104665756,0.22203746438026428,0.8443154096603394,0.48940974473953247,1.8002592325210571,7.086230278015137
FlashAttention-2,0.17254698276519775,0.4767563045024872,1.6853058338165283,0.8873918652534485,3.182955026626587,11.987053871154785
FlashAttention-3,0.07517670840024948,0.22366444766521454,0.8459081053733826,0.5086735486984253,1.8746311664581299,7.583348751068115
FlexAttention,0.2254018783569336,0.45585790276527405,1.5949352979660034,0.9171578288078308,3.313736915588379,11.378992080688477
Torch Inductor,1.0604121685028076,5.977354049682617,21.04684066772461,15.164469718933105,48.35737609863281,
