Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192
MetaAttention,0.7589759826660156,1.135328769683838,3.8497469425201416,2.577906370162964,8.343610763549805,29.817825317382812
FlashSigmoid,0.9278480410575867,1.4068992137908936,4.71537971496582,3.1026458740234375,9.677675247192383,35.618995666503906
Torch Inductor,1.0340512990951538,3.067784547805786,12.527616500854492,7.333826541900635,27.123552322387695,
