Method,BS1 S2048,BS1 S4096,BS8 S2048,BS8 S4096
MetaAttention,1.8787477016448975,2.793362617492676,6.536076068878174,12.702116966247559
FlashLinearAttention,2.151442766189575,3.3982622623443604,13.559840202331543,27.043617248535156
Torch Inductor,2.5118801593780518,8.371842384338379,19.397991180419922,
