Method,BS8S1 KV2048,BS8S1 KV4096,BS8S1 KV8192
MetaAttention,0.03487806022167206,0.04268605262041092,0.05684015527367592
FlashMLA,0.034434858709573746,0.04290206730365753,0.057055648416280746
FlashMLA Triton,0.09315000474452972,0.15811416506767273,0.28733518719673157
