Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192
MetaAttention,0.0661265179514885,0.15601809322834015,0.46332237124443054,0.27883613109588623,1.025228500366211,3.850673198699951
FlashAttention-2,0.16949549317359924,0.4740481674671173,1.5098429918289185,0.9035011529922485,2.9028139114379883,10.509507179260254
FlashAttention-3,0.11988556385040283,0.24458952248096466,0.6530693769454956,0.5236760973930359,1.5476698875427246,5.8303680419921875
FlexAttention,0.2688177824020386,0.7314039468765259,2.4094269275665283,1.520142674446106,4.997043609619141,17.858848571777344
Torch Inductor,0.7303637266159058,2.3004519939422607,8.262320518493652,5.780757904052734,18.492549896240234,
