Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192,BS1S1 KV2048,BS1S1 KV4096,BS1S1 KV8192,BS8S1 KV2048,BS8S1 KV4096,BS8S1 KV8192
MetaAttention,0.22092294692993164,0.6379068493843079,2.2213995456695557,1.5531572103500366,4.9062724113464355,16.959775924682617,,,,,,
FlashAttention-2,1.4360296726226807,1.5034153461456299,4.599602699279785,3.226604461669922,9.989777565002441,36.1712646484375,,,,,,
FlashAttention-3,0.7725997567176819,0.96418297290802,2.2239081859588623,1.559926986694336,4.930120944976807,17.094629287719727,,,,,,
FlexAttention,1.1643885374069214,4.731935977935791,16.90414047241211,10.736811637878418,36.25860595703125,134.50003051757812,,,,,,
Torch Inductor,1.5191506147384644,1.6305921077728271,6.2698564529418945,4.120185375213623,14.13909912109375,51.803009033203125,,,,,,
