Method,BS8 S1024,BS8 S2048,BS8 S4096
MetaAttention,0.8696855306625366,1.8422324657440186,3.592001438140869
FlashLinearAttention,1.6357197761535645,3.2273025512695312,6.4653096199035645
Torch Inductor,2.9692487716674805,6.356149196624756,13.9653902053833
