Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192,BS1S1 KV2048,BS1S1 KV4096,BS1S1 KV8192,BS8S1 KV2048,BS8S1 KV4096,BS8S1 KV8192
MetaAttention,0.05138895660638809,0.14665862917900085,0.5228233337402344,0.30741599202156067,1.1090930700302124,4.114937782287598,0.036382973194122314,0.060592733323574066,0.10863377898931503,0.07380406558513641,0.12678393721580505,0.2320031225681305
FlashAttention-2,0.17217566072940826,0.4728480875492096,1.5012558698654175,0.8748984932899475,2.867946147918701,10.434823989868164,0.12691597640514374,0.08655969798564911,0.11675558984279633,0.20448549091815948,0.3811950087547302,0.7318673729896545
FlashAttention-3,0.05500394105911255,0.14702299237251282,0.5267941355705261,0.3163979649543762,1.1020545959472656,4.458007335662842,0.03585437312722206,0.06048310920596123,0.10789656639099121,0.07406686991453171,0.12643840909004211,0.2316857874393463
FlexAttention,0.3292466998100281,1.0067005157470703,3.3536012172698975,2.2017252445220947,7.002060413360596,24.349857330322266,,,,,,
Torch Inductor,0.2828480005264282,1.00706946849823,5.345592498779297,3.4383862018585205,11.824511528015137,43.18436813354492,0.0798807218670845,0.08861970156431198,0.08926668763160706,0.19845981895923615,0.3697388172149658,0.7076646685600281
