Method,BS1S1 KV2048,BS1S1 KV4096,BS1S1 KV8192
MetaAttention,0.03198521211743355,0.03306782245635986,0.04178938642144203
FlashMLA,0.02904113195836544,0.032469719648361206,0.041256386786699295
