Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192,BS1S1 KV2048,BS1S1 KV4096,BS1S1 KV8192,BS8S1 KV2048,BS8S1 KV4096,BS8S1 KV8192
MetaAttention,0.0827137753367424,0.22551196813583374,0.7221601605415344,0.4183586537837982,1.5136281251907349,5.504368305206299,0.11819251626729965,0.11864771693944931,0.12557876110076904,0.12272782623767853,0.16922906041145325,0.276561439037323
FlashAttention-2,0.16984345018863678,0.4707963466644287,1.4818272590637207,0.8627551198005676,2.8807260990142822,10.433930397033691,0.0853412076830864,0.08595354110002518,0.12025991082191467,0.2054973542690277,0.3804739713668823,0.7274591326713562
FlashAttention-3,0.06445498764514923,0.1486251801252365,0.5337164998054504,0.31254300475120544,1.1215413808822632,4.625210285186768,0.03587445616722107,0.06009276956319809,0.10736313462257385,0.07388751208782196,0.12666337192058563,0.2322361171245575
