Method,BS1 S2048,BS1 S4096,BS1 S8192,BS8 S2048,BS8 S4096,BS8 S8192,BS1S1 KV2048,BS1S1 KV4096,BS1S1 KV8192,BS8S1 KV2048,BS8S1 KV4096,BS8S1 KV8192
MetaAttention,1.220720887184143,1.5205397605895996,4.735944747924805,2.878178119659424,9.82621955871582,36.8719367980957,,,,,,
FlashAttention-2,1.7591264247894287,2.0016446113586426,4.607051849365234,3.2357425689697266,10.009838104248047,35.930320739746094,,,,,,
FlashAttention-3,1.2241264581680298,0.9770860075950623,2.2525155544281006,1.551123023033142,4.951796531677246,17.43779945373535,,,,,,
